"InputCategories","UserDefinedCategories","Type","CorrectedPvalues"
"black","upMacrophageAndMGactivagtion_GSE1910__MicrogialMarkers","Brain",0.00135381368346171
"red","magenta_M8_Microglia(Type2)__HumanMeta","Brain",0.00154117027264199
"greenyellow","turquoise_CingulateNeurons(allTypes)/Layer5__Sugino/Winden","Brain",0.00168779622748387
"lightcyan","salmon_M12_Ribosome__MouseMeta","Brain",0.00182044938050218
"lightcyan","red_M11_Neuron__HumanMeta","Brain",0.00204201928421623
"purple","Astrocyte_probable__Cahoy","Brain",0.00216232245009932
"grey60","Schizophrenia_possible__DiseaseGenes","Brain",0.00226821202352283
"greenyellow","Autism_susceptability_genes_from_Pinto_et_al_2010__Voineagu","Brain",0.00284925793581266
"black","upWithABeta_MGactivation_GSE772__MicrogialMarkers","Brain",0.00300689186751302
"lightcyan","Oligodendrocyte_probable__Cahoy","Brain",0.00321494659114368
"lightyellow","PostSynapticDensity_proteins__Bayes","Brain",0.00343692561382397
"greenyellow","green_M10_GlutamatergicSynapticFunction__CTX","Brain",0.00349836939165694
"black","downActivationMicroglia_3treatments_Thomas__MicrogialMarkers","Brain",0.00544879480395185
"midnightblue","cyan_M4_Mitochondria__HumanMeta","Brain",0.00569434213462919
"purple","UpWithAlzheimers_Blalock__ADvsCT_inCA1","Brain",0.00660284079891395
"green","blue_downAging_mitochondria_synapse__Lu_Aging","Brain",0.00697356133766331
"lightgreen","turquoise_Cerebellum__HumanChimp","Brain",0.00715966085468719
"midnightblue","brown_pyramidalNeurons_Layer5/basolateralAmygdala__Sugino/Winden","Brain",0.00748330103017345
"yellow","Cytoplasm_Foster__MO","Brain",0.00751839285181011
"green","DownWithAlzheimers_Blalock__ADvsCT_inCA1","Brain",0.00772213785353178
"black","Autism_differential_expression_across_at_least_one_comparison__Voineagu","Brain",0.00866143213390835
"red","mutationMouseOrHumanOrBoth__JAXdiseaseGene","Brain",0.00882094970374952
"greenyellow","yellow_M18__CTX","Brain",0.010342135198144
"blue","UpWithAlzheimers_Blalock__ADvsCT_inCA1","Brain",0.0103894422662325
"greenyellow","PresynapticCompartmentProteins_Morciano__MO","Brain",0.0111301342997246
"yellow","yellow_Caudate__HumanChimp","Brain",0.0162690116139955
"grey60","CA1specific_Newrzella__CA1vsCA3","Brain",0.0171180726092238
"midnightblue","Oligodendrocyte_probable__Cahoy","Brain",0.0175486830456132
"purple","Down_CD40_stimulation_in_MG_AitGhezala__MicrogialMarkers","Brain",0.0186819840927912
"brown","turquoise_Cerebellum__HumanChimp","Brain",0.0198989876204043
"lightgreen","UpWithAlzheimers_Blalock__ADvsCT_inCA1","Brain",0.0216346594002887
"lightcyan","Recycling_endosome_TGN_Foster__MO","Brain",0.0231204978192402
"yellow","brown_M15_Astrocyte__CTX","Brain",0.0238359919672198
"red","turquoise_upAging_oligo__Lu_Aging","Brain",0.0246602917553442
"black","Choroid plexus__ABA","Brain",0.0315957441869758
"red","Up_CD40_stimulation_in_MG_AitGhezala__MicrogialMarkers","Brain",0.0336918584990812
"brown","Autism_associated_module_M12__Voineagu","Brain",0.0364810669082749
"purple","brown_pyramidalNeurons_Layer5/basolateralAmygdala__Sugino/Winden","Brain",0.0432710169415438
"black","MultipleSclerosis_probable__DiseaseGenes","Brain",0.0440344620248261
"lightcyan","green_CortexAndCerebellum__HumanChimp","Brain",0.0448306527659304
"yellow","GlutamatergicNeuronsInMouseCortex_Sugino__MO","Brain",0.0460681270286909
"greenyellow","turquoise_M14_Nucleus__MouseMeta","Brain",0.0473440796537895
"greenyellow","greenyellow_downAD_ionAndCalciumTransport__Blalock_AD","Brain",0.0481697878914985
"grey60","Autism_susceptability_genes_from_Pinto_et_al_2010__Voineagu","Brain",0.0495123291462922
