"","query.number","significant","p.value","term.size","query.size","overlap.size","recall","precision","term.id","domain","subgraph.number","term.name","relative.depth","intersection","IC"
"130","skyblue",TRUE,0.000433,3597,356,130,0.365,0.036,"GO:1901360","BP",1,"organic cyclic compound metabolic process",1,NA,2.09015079905233
"131","skyblue",TRUE,0.0378,2237,356,84,0.236,0.038,"GO:0031326","BP",1,"regulation of cellular biosynthetic process",1,NA,2.50965594931063
"132","skyblue",TRUE,0.00509,2125,356,84,0.236,0.04,"GO:0010556","BP",1,"regulation of macromolecule biosynthetic process",1,NA,2.54966721310032
"133","skyblue",TRUE,0.00742,2044,356,81,0.228,0.04,"GO:2000112","BP",1,"regulation of cellular macromolecule biosynthetic process",2,NA,2.61786123316354
"134","skyblue",TRUE,3.66e-05,3456,356,130,0.365,0.038,"GO:0046483","BP",1,"heterocycle metabolic process",1,NA,2.13148221793408
"135","skyblue",TRUE,4.93e-05,3153,356,121,0.34,0.038,"GO:0010467","BP",1,"gene expression",1,NA,2.31038605491273
"136","skyblue",TRUE,7.41e-05,3459,356,129,0.362,0.037,"GO:0006725","BP",1,"cellular aromatic compound metabolic process",1,NA,2.12790581833425
"137","skyblue",TRUE,0.00181,3944,356,137,0.385,0.035,"GO:0034641","BP",1,"cellular nitrogen compound metabolic process",1,NA,2.08881479350958
"138","skyblue",TRUE,0.00949,2329,356,89,0.25,0.038,"GO:0051171","BP",1,"regulation of nitrogen compound metabolic process",1,NA,2.52252162385024
"139","skyblue",TRUE,0.00619,2271,356,88,0.247,0.039,"GO:0010468","BP",1,"regulation of gene expression",1,NA,2.41889893281498
"140","skyblue",TRUE,9.66e-06,3350,356,129,0.362,0.039,"GO:0006139","BP",1,"nucleobase-containing compound metabolic process",1,NA,2.15158743877777
"141","skyblue",TRUE,1.97e-07,2957,356,123,0.346,0.042,"GO:0090304","BP",1,"nucleic acid metabolic process",2,NA,2.22597664775037
"142","skyblue",TRUE,3.52e-07,2646,356,113,0.317,0.043,"GO:0016070","BP",1,"RNA metabolic process",3,NA,2.43845749332054
"143","skyblue",TRUE,0.0282,397,356,25,0.07,0.063,"GO:0016071","BP",1,"mRNA metabolic process",4,NA,4.86963874375238
"144","skyblue",TRUE,0.007,491,356,30,0.084,0.061,"GO:0006396","BP",1,"RNA processing",4,NA,4.79839200387969
"145","skyblue",TRUE,0.00105,2145,356,87,0.244,0.041,"GO:0019219","BP",1,"regulation of nucleobase-containing compound metabolic process",2,NA,2.54363765006364
"146","skyblue",TRUE,0.0033,2136,356,85,0.239,0.04,"GO:0032774","BP",1,"RNA biosynthetic process",1,NA,2.64709635843187
"147","skyblue",TRUE,0.00541,2061,356,82,0.23,0.04,"GO:0097659","BP",1,"nucleic acid-templated transcription",2,NA,2.66288704433819
