"","query.number","significant","p.value","term.size","query.size","overlap.size","recall","precision","term.id","domain","subgraph.number","term.name","relative.depth","intersection","IC"
"155","grey60",TRUE,0.00185,2797,514,142,0.276,0.051,"GO:0032502","BP",3,"developmental process",1,NA,1.87144795636018
"156","grey60",TRUE,0.0168,2508,514,126,0.245,0.05,"GO:0048856","BP",3,"anatomical structure development",2,NA,1.9731319972887
"157","grey60",TRUE,0.0119,1125,514,68,0.132,0.06,"GO:0048513","BP",3,"organ development",3,NA,2.64078299637528
"158","grey60",TRUE,0.000711,2703,514,140,0.272,0.052,"GO:0044767","BP",3,"single-organism developmental process",1,NA,1.88847359591301
"159","grey60",TRUE,0.0454,338,514,28,0.054,0.083,"GO:0009887","BP",3,"organ morphogenesis",1,NA,4.09668556992407
"160","grey60",TRUE,0.0478,376,514,30,0.058,0.08,"GO:0008284","BP",2,"positive regulation of cell proliferation",1,NA,4.38816271334441
"161","grey60",TRUE,5.44e-07,159,514,25,0.049,0.157,"GO:0031012","CC",4,"extracellular matrix",1,NA,4.75851834608031
"162","grey60",TRUE,0.0175,62,514,11,0.021,0.177,"GO:0044420","CC",4,"extracellular matrix component",2,NA,6.19206559205075
"163","grey60",TRUE,8.61e-08,2830,514,160,0.311,0.057,"GO:0005576","CC",4,"extracellular region",1,NA,2.05329264294009
"164","grey60",TRUE,3.78e-07,2668,514,151,0.294,0.057,"GO:0044421","CC",4,"extracellular region part",2,NA,2.08013464532657
"165","grey60",TRUE,0.000116,709,514,54,0.105,0.076,"GO:0005615","CC",4,"extracellular space",3,NA,3.52349420192233
"166","grey60",TRUE,0.000124,112,514,18,0.035,0.161,"GO:0005578","CC",4,"proteinaceous extracellular matrix",3,NA,5.96249115040625
"167","grey60",TRUE,0.00491,2596,514,132,0.257,0.051,"GO:0031982","CC",4,"vesicle",1,NA,2.18561255943488
"168","grey60",TRUE,0.0012,2216,514,119,0.232,0.054,"GO:0043230","CC",4,"extracellular organelle",1,NA,2.39621401838465
"169","grey60",TRUE,0.000881,2203,514,119,0.232,0.054,"GO:0065010","CC",4,"extracellular membrane-bounded organelle",2,NA,2.39621401838465
"170","grey60",TRUE,0.0012,2216,514,119,0.232,0.054,"GO:1903561","CC",4,"extracellular vesicle",2,NA,2.39693891874259
"171","grey60",TRUE,0.00658,2536,514,129,0.251,0.051,"GO:0031988","CC",4,"membrane-bounded vesicle",1,NA,2.24642064392634
"172","grey60",TRUE,0.000881,2203,514,119,0.232,0.054,"GO:0070062","CC",4,"extracellular exosome",2,NA,2.39730156607205
"173","red",TRUE,0.0187,13,350,5,0.014,0.385,"GO:0007158","BP",5,"neuron cell-cell adhesion",1,NA,8.86170445685406
"174","red",TRUE,0.0254,964,350,45,0.129,0.047,"GO:0055085","BP",7,"transmembrane transport",1,NA,4.1461862136971
"175","red",TRUE,0.00863,693,350,37,0.106,0.053,"GO:0034220","BP",7,"ion transmembrane transport",1,NA,4.27843910625402
"176","red",TRUE,2.64e-05,780,350,46,0.131,0.059,"GO:0007267","BP",6,"cell-cell signaling",1,NA,4.51789903500038
"177","red",TRUE,7.4e-08,488,350,39,0.111,0.08,"GO:0007268","BP",6,"synaptic transmission",2,NA,5.246292154622
"178","red",TRUE,0.0365,132,350,13,0.037,0.098,"GO:0071804","BP",4,"cellular potassium ion transport",1,NA,5.75562412613121
"179","red",TRUE,0.0365,132,350,13,0.037,0.098,"GO:0071805","BP",4,"potassium ion transmembrane transport",1,NA,5.75562412613121
"180","red",TRUE,0.0253,698,350,36,0.103,0.052,"GO:0030182","BP",1,"neuron differentiation",1,NA,4.18111763158122
"181","red",TRUE,0.0117,591,350,33,0.094,0.056,"GO:0048666","BP",1,"neuron development",1,NA,4.45498520958981
"182","red",TRUE,0.00843,555,350,32,0.091,0.058,"GO:0031175","BP",1,"neuron projection development",1,NA,4.6013747571577
"183","red",TRUE,0.00801,279,350,21,0.06,0.075,"GO:0045202","CC",3,"synapse",1,NA,4.91652259522356
"184","red",TRUE,0.0335,192,350,16,0.046,0.083,"GO:0044456","CC",3,"synapse part",2,NA,5.37044008671767
"185","red",TRUE,0.00711,2845,350,103,0.294,0.036,"GO:0071944","CC",2,"cell periphery",1,NA,2.51128334816943
"186","red",TRUE,0.0113,2802,350,101,0.289,0.036,"GO:0005886","CC",2,"plasma membrane",2,NA,2.55405507415971
"187","red",TRUE,0.0492,198,350,16,0.046,0.081,"GO:0022836","MF",8,"gated channel activity",1,NA,4.72242577560128
"188","saddlebrown",TRUE,0.0117,93,1024,20,0.02,0.215,"GO:0009593","BP",2,"detection of chemical stimulus",1,NA,6.54259006190881
"189","saddlebrown",TRUE,0.011,85,1024,19,0.019,0.224,"GO:0050906","BP",2,"detection of stimulus involved in sensory perception",1,NA,6.66447987951784
"190","saddlebrown",TRUE,0.00179,69,1024,18,0.018,0.261,"GO:0050907","BP",2,"detection of chemical stimulus involved in sensory perception",2,NA,7.0981158645927
"191","saddlebrown",TRUE,0.0351,41,1024,12,0.012,0.293,"GO:0050911","BP",2,"detection of chemical stimulus involved in sensory perception of smell",1,NA,9.96031674552217
"192","saddlebrown",TRUE,0.00419,80,1024,19,0.019,0.237,"GO:0017171","MF",1,"serine hydrolase activity",1,NA,6.01187031073125
"193","saddlebrown",TRUE,0.00342,79,1024,19,0.019,0.241,"GO:0008236","MF",1,"serine-type peptidase activity",1,NA,6.0591231955818
